name,plan_date,uc_id
Chauhar Pura,8,38
Chauhar Pura,9,38
Chauhar Pura,10,38
Kani Wala,13,38
Basti Gujran Wala,14,38
Neay ki Kalan,15,38
Neay ki Kalan,16,38
Bhoochkay,17,38
Bhoochkay,20,38
Bhoochkay,21,38
Kot Anwar+ Shams Pura,22,38
Nathay Wala,23,38
Nathay Wala,24,38
Basti Khushi,27,38
Sheikh Imaad Kahna,28,38
Sheikh Imaad Kahna,29,38
Sheikh Imaad Kahna,30,38
Ghos Sabri,1,39
Ghos Sabri,2,39
Alfalah Colony,3,39
Alfalah Colony,6,39
Basti Raheem-ud-Din,7,39
Khursheed Town,8,39
Cha Dhan Wala,9,39
Abu Bakar Town,10,39
Sadiqa Colony,13,39
Himat Pura,14,39
Muhala Balochan Wala,15,39
Basti Tarkhan Wali,16,39
Rehmanabad,17,39
Rehmanabad,20,39
Kot Sardar Muhammad,21,39
Cha Tabasi Wala,22,39
Ahmad City+Rehman City,23,39
Muhala Bagh Wala,24,39
Muhala Islam Wala,27,39
Muhala Rajpootan Wala,28,39
Garoh ka Thara+Makkah Town,29,39
Shakeel Town,30,39
Bijri Wala,1,40
Shark Abadi,2,40
Kamhar Pura,3,40
Muhala Isaion Wala,6,40
Muhala Shah Nawaz,7,40
Muhala Isaion Wala,8,40
Muhala Haji Tufail Wala,9,40
Basti Mewat,10,40
Pati Bay Ward 2,13,40
Muhala Sadiqabad,14,40
Muhala Sadiqabad,15,40
Muhala Maklan Wala+Muhala Gujran Wala,16,40
Muhala Ansarian Wala,17,40
Muhala Ansarian Wala,20,40
Pati Bay Ward 3,21,40
Pati Bay Ward 3,22,40
Muhala Sarfaraz Wala,23,40
Muhala Sarfaraz Wala,24,40
Muhala Chaudrian Wala,27,40
Muhala Munir Wala,28,40
Muhala Munir Wala,29,40
Muhala Gujran Wala,30,40
Ameer Colony,1,41
Ameer Colony,2,41
Ameer Colony,3,41
Muhala Kambuaan,6,41
Basti Mewaat,7,41
Muhala Karman Wala,8,41
Muhala Baghichi,9,41
Muhala Baghichi,10,41
Muhala Baghichi,13,41
Muhala Baghichi,14,41
Muhala Baghichi,15,41
Muhala Baghichi Younas Shah,16,41
Muhala Baghichi,17,41
Muhala Baghichi,20,41
Newan Thay,21,41
Newan Thay,22,41
Newan Thay,23,41
Newan Thay,24,41
Muhala Baba Mithu Shah,27,41
Muhala Chaudrian Wala,28,41
Muhala Malkan Wala,29,41
Muhala Ameen Ansari,30,41
Meowati Jhagian,1,42
Makki Masjid,2,42
Iqbal Nagar,3,42
Town Committee,6,42
Muhala Mehran,7,42
Muhala Mehran,8,42
Allah Hu Chok,9,42
Allah Hu Chok,10,42
Sheem Health House,13,42
Chok Shafi Wala,14,42
Chok Aray Wala,15,42
Dewi Dewara,16,42
Madnia Masjid,17,42
Madrassa Al-Uloom-us-Sana,20,42
Noor Masjid,21,42
Machli Wala Chok,22,42
Bonga Basti,23,42
Bonga Basti,24,42
Masjid Ahsaan Shah,27,42
Chok Dogran,28,42
Chok Usman Ghani,29,42
Chok Chokhandi,30,42
Johad Wala,1,43
Johad Wala,2,43
Nur Pur Dogran,3,43
Muhalem Khord,6,43
Thay Kamal,7,43
Bhatta Jaat+Jamay Dharian,8,43
Langiana,9,43
Gohar Jagir,10,43
Gohar Jagir,13,43
Gohar Jagir,14,43
Sheikh Purian,15,43
Sheikh Purian+Mashmulajat,16,43
Bag Singh Wala,17,43
Bag Singh Wala,20,43
Bagh Wala,21,43
Roday Wala,22,43
Roday Wala,23,43
Roday Wala,24,43
Usman Wala,27,43
Usman Wala,28,43
Usman Wala,29,43
Usman Wala,30,43
